"","receiver","gsis_id","games","hPPR_pts","exp_hPPR_pts","exp_hPPR_pts_pg","hPPR_over_exp"
"101","D.Swift","00-0036275",13,70.7,67.1270952901909,5.16362271463007,3.57290470980909
"102","J.Agnew","00-0033572",11,15.4,22.5990309074409,2.0544573552219,-7.19903090744092
"103","J.James","00-0032135",12,31.9,31.8774335503877,2.65645279586564,0.0225664496123237
"104","K.Golladay","00-0033932",5,55.8,55.1863246462654,11.0372649292531,0.613675353734614
"105","K.Johnson","00-0034349",11,34.2,27.3148268195219,2.48316607450199,6.88517318047808
"106","M.Hall","00-0033094",10,49.5,49.7333715260539,4.97333715260539,-0.233371526053851
"107","M.Jones","00-0029293",16,189.8,183.596464720737,11.4747790450461,6.20353527926281
"108","M.Sanu","00-0029632",6,31.8,35.4887092477994,5.91478487463324,-3.68870924779941
"109","Q.Cephus","00-0036277",11,56.9,56.6483426578117,5.14984933252833,0.251657342188317
"110","T.Hockenson","00-0035229",16,141.8,153.904959538604,9.61905997116276,-12.1049595386042
"111","A.Jones","00-0033293",14,71,80.3315345815931,5.73796675582808,-9.33153458159315
"112","A.Lazard","00-0034521",10,79.6,66.756464725386,6.6756464725386,12.843535274614
"113","D.Adams","00-0031381",14,302.9,230.839653511597,16.4885466793998,72.0603464884034
"114","E.St","00-0034279",8,21.2,18.8551351464423,2.35689189330529,2.34486485355766
"115","J.Sternberger","00-0035671",8,23.4,20.7455230701053,2.59319038376316,2.65447692989473
"116","J.Williams","00-0033948",10,45.1,38.1304123958238,3.81304123958238,6.9695876041762
"117","M.Lewis","00-0024243",10,33.7,28.3157838432497,2.83157838432497,5.38421615675031
"118","M.Taylor","00-0035480",5,15.1,11.1745643767562,2.23491287535125,3.92543562324375
"119","M.Valdes-Scantling","00-0034272",14,121.5,97.7996817570503,6.98569155407502,23.7003182429497
"120","R.Tonyan","00-0033757",15,150.6,88.6656620958342,5.91104413972228,61.9343379041658
"121","T.Ervin","00-0032404",7,13.9,14.951905339266,2.135986477038,-1.05190533926599
"122","B.Cooks","00-0031236",15,190.8,181.148376233398,12.0765584155599,9.65162376660169
"123","C.Hansen","00-0033840",5,40.3,32.4747091544194,6.49494183088388,7.82529084558058
"124","C.Prosise","00-0032393",4,10.3,8.00231303999355,2.00057825999839,2.29768696000645
"125","D.Fells","00-0029738",12,65.7,40.3015525047091,3.35846270872576,25.3984474952909
"126","D.Johnson","00-0032257",14,74.7,72.3039356852084,5.16456683465774,2.39606431479159
"127","Da.Johnson","00-0032187",9,30.1,35.9255374338291,3.99172638153656,-5.82553743382907
"128","J.Akins","00-0034364",13,64.8,70.5208399995364,5.42467999996434,-5.72083999953645
"129","K.Coutee","00-0034366",8,74.5,68.0073900278452,8.50092375348066,6.49260997215475
"130","K.Stills","00-0030085",7,25.9,28.1069134392937,4.01527334847053,-2.20691343929371
"131","P.Brown","00-0033439",8,35.3,24.738171878407,3.09227148480087,10.561828121593
"132","R.Cobb","00-0028002",10,81.1,70.5036456261211,7.05036456261211,10.5963543738789
"133","W.Fuller","00-0033127",10,162.4,117.223165321581,11.7223165321581,45.1768346784189
"134","D.Harris","00-0035848",5,12.9,10.8599165850547,2.17198331701095,2.04008341494527
"135","J.Doyle","00-0030181",13,54.6,49.0464513640887,3.77280395108374,5.55354863591133
"136","J.Taylor","00-0036223",14,53.9,39.0798483523733,2.79141773945524,14.8201516476267
"137","J.Wilkins","00-0034400",10,16.5,17.4696389781603,1.74696389781603,-0.969638978160312
"138","M.Alie-Cox","00-0033217",14,66.9,54.2336929560466,3.87383521114618,12.6663070439534
"139","M.Johnson","00-0032980",8,32.5,43.7391977874139,5.46739972342674,-11.2391977874139
"140","M.Pittman","00-0036252",13,76.3,81.1402708749888,6.24155929807606,-4.84027087498878
"141","N.Hines","00-0034367",16,103.7,87.5810579811584,5.4738161238224,16.1189420188416
"142","P.Campbell","00-0035639",1,10.1,11.4547218153974,11.4547218153974,-1.35472181539738
"143","T.Burton","00-0030710",11,57,66.4168071173002,6.0378915561182,-9.41680711730024
"144","T.Hilton","00-0029608",15,134.2,145.337685436023,9.68917902906819,-11.1376854360228
"145","Z.Pascal","00-0033251",16,114.9,118.691231211736,7.41820195073351,-3.7912312117361
"146","C.Conley","00-0032128",14,79.1,89.0154399688583,6.35824571206131,-9.91543996885829
"147","C.Johnson","00-0036254",10,48.2,51.8601273739987,5.18601273739987,-3.66012737399866
"148","C.Thompson","00-0030404",6,30.6,25.7870648967727,4.29784414946212,4.81293510322731
"149","D.Chark Jr.","00-0034777",13,127.1,141.482952420106,10.8833040323159,-14.3829524201062
"150","D.Ogunbowale","00-0033854",7,10.4,20.4600230192571,2.92286043132244,-10.0600230192571
"151","J.Robinson","00-0035831",14,76.9,63.7657328682906,4.5546952048779,13.1342671317094
"152","K.Cole Sr.","00-0033681",16,121.7,131.116570985786,8.19478568661164,-9.41657098578621
"153","L.Shenault Jr.","00-0036268",14,119,104.166891102516,7.44049222160829,14.8331088974839
"154","T.Eifert","00-0030549",14,64.9,88.1506171951416,6.29647265679583,-23.2506171951416
"155","B.Pringle","00-0034297",5,28.5,23.5706709690547,4.71413419381095,4.92932903094527
"156","C.Edwards-Helaire","00-0036360",13,53.7,59.412384003068,4.57018338485138,-5.71238400306795
"157","D.Robinson","00-0032775",15,87.1,81.7681412962721,5.45120941975147,5.33185870372789
"158","D.Thompson","00-0035148",4,16,11.8695192051387,2.96737980128467,4.13048079486131
"159","Darr.Williams","00-0034301",12,20.6,27.0868285557674,2.25723571298062,-6.4868285557674
"160","L.Bell","00-0030496",8,16.4,19.305701093112,2.41321263663899,-2.90570109311196
"161","M.Hardman","00-0035140",16,100.5,86.8865201432572,5.43040750895358,13.6134798567428
"162","S.Watkins","00-0031325",10,72.6,77.1491960054732,7.71491960054732,-4.54919600547322
"163","T.Hill","00-0033040",15,261.1,209.3322910304,13.9554860686933,51.7677089696002
"164","T.Kelce","00-0030506",15,260.1,201.083739924482,13.4055826616321,59.016260075518
"165","C.Akers","00-0036414",7,23.8,19.6605213311839,2.80864590445484,4.13947866881612
"166","C.Kupp","00-0033908",15,161.8,156.233257814139,10.4155505209426,5.56674218586099
"167","D.Henderson","00-0035664",11,29.5,30.0916447012288,2.73560406374807,-0.591644701228756
"168","G.Everett","00-0033895",15,68.2,76.9314826772025,5.1287655118135,-8.73148267720246
"169","J.Reynolds","00-0033943",16,99.8,116.014452688568,7.25090329303548,-16.2144526885677
"170","M.Brown","00-0031806",15,27.7,34.674259055845,2.31161727038967,-6.97425905584499
"171","R.Woods","00-0030431",16,174.6,162.595421194967,10.1622138246855,12.0045788050327
"172","T.Higbee","00-0033110",15,104.1,84.8550655442638,5.65700436961759,19.2449344557362
"173","V.Jefferson","00-0036415",13,37.5,43.7847588536974,3.36805837336134,-6.28475885369741
"174","A.Ekeler","00-0033699",10,79.3,68.2657449945466,6.82657449945466,11.0342550054534
"175","D.Parham Jr.","00-0035329",10,38.9,37.4942138611605,3.74942138611605,1.40578613883947
"176","G.Nabers","00-0035908",7,17,9.76077061373595,1.39439580196228,7.23922938626405
"177","H.Henry","00-0033090",14,115.3,136.201790596569,9.72869932832634,-20.9017905965688
"178","J.Guyton","00-0035414",16,83.1,93.4723041793054,5.84201901120659,-10.3723041793054
"179","J.Jackson","00-0034440",6,26.8,23.473300551975,3.9122167586625,3.326699448025
"180","J.Kelley","00-0036370",9,26.3,23.9649359417733,2.66277066019703,2.33506405822669
"181","K.Allen","00-0030279",14,197.2,196.51474975067,14.0367678393336,0.685250249330181
"182","K.Ballage","00-0034799",6,19.9,27.0283617360718,4.50472695601196,-7.12836173607177
"183","K.Hill Jr.","00-0036382",5,10.8,13.5962250139743,2.71924500279487,-2.79622501397433
