"","player","gsis_id","games","total_rush_xfp","actual_rush_fp","exp_hPPR_pts","actual_catch_fp","total_xfp","actual_fp","total_xfp_pg"
"76","L.Bell","00-0030496",11,47.2089406225934,37.6,3.46767630201369,5.4,50.6766169246071,43,4.60696517496428
"77","L.Fournette","00-0033856",12,66.581131441232,72.7,51.9992237101744,41.3,118.580355151406,114,9.88169626261721
"78","L.Murray","00-0030513",15,80.6389254218406,89.6,27.4545900882404,35.1,108.093515510081,124.7,7.20623436733873
"79","L.Perine","00-0036269",9,33.1626268777848,35.2,15.4259070754805,11.8,48.5885339532653,47,5.39872599480726
"80","M.Breida","00-0033308",10,29.4757607883965,25.4,11.0124756641805,14.1,40.488236452577,39.5,4.0488236452577
"81","M.Brown","00-0031806",15,70.5511401790288,71.9,34.674259055845,27.7,105.225399234874,99.6,7.01502661565825
"82","M.Davis","00-0032063",14,110.348255843421,100.2,79.4057755224397,78.8,189.754031365861,179,13.5538593832758
"83","M.Gaskin","00-0035311",10,93.8378529892853,76.4,52.120554654635,71.3,145.95840764392,147.7,14.595840764392
"84","M.Gordon","00-0032144",15,126.191193735925,152.6,46.4499903969494,37.8,172.641184132875,190.4,11.509412275525
"85","M.Ingram","00-0027966",10,40.7345870221368,41.9,9.75310590665003,8,50.4876929287868,49.9,5.04876929287868
"86","M.Sanders","00-0035243",12,109.914542904186,129.1,53.7047232183477,33.7,163.619266122534,162.8,13.6349388435445
"87","N.Chubb","00-0034791",12,125.899597897754,178.5,20.1088820507674,23,146.008479948522,201.5,12.1673733290435
"88","N.Hines","00-0034367",16,59.2081223234907,56,87.5810579811584,103.7,146.789180304649,159.7,9.17432376904057
"89","P.Barber","00-0032741",14,69.2375712206218,49.8,7.03414718229333,3.2,76.2717184029151,53,5.44797988592251
"90","P.Lindsay","00-0034109",11,62.2403473645952,56.2,13.9547649478667,6.3,76.1951123124619,62.5,6.92682839204199
"91","R.Burkhead","00-0030288",10,41.7781720462938,45.4,39.5186952351715,49.7,81.2968672814653,95.1,8.12968672814653
"92","R.Freeman","00-0034838",11,19.9127849277294,17,12.6464571062581,14.1,32.5592420339875,31.1,2.95993109399887
"93","R.Jones","00-0034816",14,119.77994685671,139.8,47.9474363094362,36.5,167.727383166146,176.3,11.9805273690104
"94","R.Mostert","00-0031687",8,63.4300939344016,70.1,17.617312382504,15.5,81.0474063169056,85.6,10.1309257896132
"95","R.Smith","00-0035957",7,24.3435383497218,21.6,11.2291330120485,10.4,35.5726713617702,32,5.08181019453861
"96","R.Woods","00-0030431",16,14.3989103328211,33.5,162.595421194967,174.6,176.994331527788,208.1,11.0621457204868
"97","S.Ahmed","00-0036020",6,51.7590385747495,49.9,14.9573477959549,11.6,66.7163863707044,61.5,11.1193977284507
"98","S.Michel","00-0034845",8,43.956494454788,50.9,8.71398661001836,20.9,52.6704810648064,71.8,6.5838101331008
"99","S.Perine","00-0033526",10,38.5446535031568,48.1,12.8421057241493,12.1,51.3867592273061,60.2,5.13867592273061
"100","T.Coleman","00-0032058",6,17.0804458978392,5.3,5.63856605456436,5.4,22.7190119524036,10.7,3.78650199206726
"101","T.Gurley","00-0032241",15,132.361203901207,121.8,36.7737429980621,28.9,169.134946899269,150.7,11.2756631266179
"102","T.Hill","00-0033357",16,57.8892976138868,71.8,18.7630196864258,19.8,76.6523173003125,91.6,4.79076983126953
"103","T.Homer","00-0035594",8,15.1236325569062,8.8,12.1749951946567,19.5,27.2986277515629,28.3,3.41232846894536
"104","T.Johnson","00-0035537",8,34.5137737876548,31.4,19.3428695676803,23.9,53.8566433553351,55.3,6.73208041941689
"105","T.Johnson","00-0035537",8,34.5137737876548,31.4,1.51497645173366,0,36.0287502393885,31.4,4.50359377992356
"106","T.Pollard","00-0035261",15,56.2588754959791,67.5,46.3922435390289,39.3,102.651119035008,106.8,6.8434079356672
"107","T.Williams","00-0035291",6,12.5239834266646,21.7,5.18861713440259,5.5,17.7126005610672,27.2,2.95210009351119
"108","Z.Moss","00-0036251",13,74.6114694361541,72.1,22.5181405536895,22.5,97.1296099898436,94.6,7.4715084607572
